,PR,CB
759491,0.011155541601086033,0.0
74,0.0,0.0
25462,0.00782387979706287,0.04350988990066085
335,0.007310465523715473,0.0
66915,0.6348104641976604,0.7392914428451901
71209,0.04452486993957379,0.006161545934315592
91438,0.00926106217913458,0.0
113823,0.0036698912013060692,0.0
132710,0.0014976930801513626,0.0
208582,0.011525856756671013,0.0
378288,0.027457323069761085,0.1872507609706438
397880,0.017946938070251828,0.0
489999,0.01071418887910953,0.0
492331,0.029234254961164274,0.00010340435431049959
615119,0.020518440012391767,0.0026869336409378634
651107,0.012877307251600044,0.000622948857011952
747445,0.05357878555687869,0.0020008722181608734
755156,0.053102941058745454,0.0009227848050611237
838272,0.0356210915277527,0.0
895136,0.03865333805245484,0.0
899530,0.03797690229445363,0.0
960690,0.030478443627186422,0.0
988638,0.0381803814964963,0.02217446585589063
75264,0.05382136167460835,0.0014040264447251448
441,0.0,0.0
91650,0.1112765208778031,0.0
112789,0.009593685903016413,0.0
134729,0.026190614967490027,0.0030879207381905582
175775,0.007566986357542583,0.0
295756,0.02707097335476315,0.08552389017772584
359326,0.014214733790519594,0.0
446509,0.07986421804165957,0.0
485135,0.006313089772496926,0.0
579839,0.026624198590182772,0.008149885166512737
741746,0.014329572343846889,0.0
789064,0.0027367446304156534,0.0
790820,0.015317800635934393,0.0
796045,0.015468705710829117,0.0
806829,0.03689930663589842,0.0
825087,0.012482686545245206,0.0
863790,0.01811585857515451,0.00011506479715479722
883318,0.034837262781355446,0.005354880743896315
151290,0.0024505655130735615,0.037806949220340516
589,0.0,0.0
286662,0.0014635343456541896,0.007932552172371569
748421,0.0,0.0
5953,0.07555297503470852,0.011145762496634928
1098,0.02450452889060954,0.006464699905595496
12654,0.0023508286582128598,0.028428492730288534
59537,0.05530227864237865,0.0
61938,0.02017810893442397,0.0
81493,0.03359691818453992,0.00012690084040472663
84209,0.08840960056072548,0.0
130932,0.017403126472569242,0.003138286059422656
139026,0.22759690759633708,0.04832807657574459
182598,0.10543965992912294,0.002385816266824195
187581,0.04871669979870712,0.15445746998972432
200968,0.00604590916046703,0.0
349157,0.017751433086145445,0.0
354105,0.3900794409815276,0.8914239512362865
379125,0.1054635626737072,0.01607824870626687
390390,0.021719979574615175,0.0010151267169829774
485791,0.013351157228925008,0.0
490004,0.15893515153823526,0.0008293033744029384
503913,0.019995919539521696,0.0
562304,0.20344867888437818,0.0013414768052290161
574772,0.04425357099752473,0.0
604852,0.05234235469922625,0.007709392562053467
623985,0.015253282292446324,0.0
754032,1.0,0.8243834662755725
771438,0.18504398415724457,0.00043358507655148586
772567,0.054667956810231295,0.0
840402,0.3362946712124863,0.008463407650214867
8828,0.00922782251211958,0.0
1113,0.0,0.0
81403,0.006030919174607676,0.0
546214,0.00950065742007226,0.0
628467,0.008073379015877003,0.002110911754275249
13384,0.00957867887765647,0.0003912836459505125
1433,0.0018828467495285322,0.0
19241,0.006310648809935306,0.0004259639016749992
65397,0.009007058621433271,0.023036421305294083
86312,0.0057598774962374566,0.0004272120480170361
99753,0.006232684750754299,0.0
136640,0.0306351185689487,0.0050208267911336256
175286,0.034088897159441106,0.006928185719011967
210512,0.004398943758765484,0.0
234325,0.031386606287047564,0.0017011041711881734
409954,0.05876695477817619,0.0
749175,0.004420207278467772,0.0022312110211925675
804289,0.007406889030376207,0.00041119476212677535
50493,0.0021571149668187174,0.0
1498,0.0,0.0
96977,0.002314973018727108,0.0
97325,0.012238891142295474,0.0
219966,0.0037883885331082756,0.0
561105,0.0028072005950481576,0.0
607053,0.009572183675924363,0.0
1528006,0.002320554207829879,0.0
1589,0.0,0.0
559405,0.002605910698170263,0.00015063027991173454
1611,0.002605910698170263,2.5105046651955757e-05
156886,0.005498666108096246,0.0031402229187154664
2252,0.0013133240235684777,0.0
112017,0.019422204338559738,0.002507257854508445
2273,0.001289519886658137,0.0005182398916010867
203804,0.0006876708786838193,0.0
588679,0.0006876708786838193,0.0
744548,0.08753583167962725,0.02162238236024066
38936,0.060821764565061526,0.02324802091718959
2330,0.003093922824497068,0.027411859957051497
41874,0.24627770851395214,0.27141935025409775
249175,0.011827125296896012,0.00190657885841454
639397,0.00953949195346914,0.025339374179111987
642542,0.08448670822483426,0.23154163029339833
765585,0.002884573491666859,0.0
781837,0.03808018181365523,0.03089565486401362
785283,0.03798962807308287,0.3604592640724469
792507,0.171727003532401,0.017291641613622927
798543,0.0016683269952837685,0.00020084037321564606
183867,0.13802458065776524,0.0
2411,0.047088855645976216,0.18869772532512513
346336,0.21750445098725238,0.01043919646143896
423829,0.3000525126065794,1.0
750519,0.10412881690646224,0.0105612652348648
840102,0.05313201286052451,0.6308637069976207
988440,0.04235142494045046,0.13460993468640886
133969,0.006440931119880614,0.002153963574303462
2578,0.0,0.0
7689,0.024952644945015805,0.0
2750,0.0,0.0
160690,0.02439136617504832,0.003059659743480775
208774,0.06693927290567168,0.028924203940539215
262255,0.032063377298530135,0.07363080500599808
319347,0.03208531519955151,0.009487966515124624
376204,0.04014367068791489,0.000592344609664806
802302,0.06205237588079448,0.00228034744808934
820434,0.043188893027200526,0.02007131348446618
112462,0.16802943405676316,0.002614182736078761
2867,0.0,0.0
176936,0.11617657051730616,0.0
187478,0.02396291954826103,0.013208850048694338
192382,0.1142589945210305,0.0
240865,0.054816620774053214,0.0009393222991329203
255371,0.003015279618747078,0.0
489303,0.20288356561502927,0.0012031640284554462
824599,0.06406085033701715,0.0
831381,0.005825935448608331,0.0
894465,0.4320133098020661,0.24048877443497627
18977,0.007273925801457798,0.01420694590034177
3170,0.0009207137943891922,0.0
19297,0.009318179665474779,0.0009801931274700045
297894,0.013043447762319978,0.009613581177726387
517607,0.0,0.0
3226,0.0,0.0
583618,0.019622318555356583,0.0
626463,0.010923044150710765,0.0
859509,0.002921361762213094,0.0
101895,0.009555005893290964,0.0
3426,0.0,0.0
239859,0.01735765259832119,0.0
3595,0.006437704588390037,0.025349012845252514
304458,0.010842604919844458,0.0
649950,0.013235360963373301,0.00020502454765763872
691807,0.009160012426059195,0.00042260161864125524
178014,0.03322056400923925,0.0016077340404224661
3627,0.0030446670008386694,0.0
246768,0.027135594025501197,0.0
295276,0.07286857706499938,0.03709907274331685
603590,0.017499619457969514,0.0
745584,0.009948892595920324,0.0
790988,0.059924206298344135,0.06280773788521478
819344,0.02960769320181737,0.013668329467212477
855773,0.003904364071649145,0.0
131627,0.0326374541745188,0.0
3669,0.0,0.0
137580,0.012841980870408064,0.0
170369,0.022217813425742344,0.0
207735,0.005528458794578423,0.0
240311,0.03932417474781941,0.012436850466670011
289177,0.00959066682795963,0.0
309458,0.028184882833951614,0.07519179802591319
332141,0.13714380107316373,0.004691542356899989
519637,3.832221614956269e-05,0.0
578028,3.832221614956269e-05,0.0
584923,0.003528324976481156,0.0021284922556380394
